,id,length,cols,label,earliest_entry,latest_entry,timestamp_density,median_trip_distance,average_trip_distance
quarterly_simulation_2133.csv,2133,90975,428,private,2007-06-30 19:49:16,2009-06-30 16:45:06,694.124693597142,6685.0,9372.16980664353
quarterly_simulation_2135.csv,2135,83055,428,private,2007-06-26 10:20:42,2009-06-29 14:01:08,763.7274577087472,2026.5,6930.47820343461
quarterly_simulation_214.csv,214,97116,428,commercial,2007-06-20 16:06:28,2009-06-28 19:59:36,657.6063676428189,9965.0,21789.341550695826
quarterly_simulation_2140.csv,2140,167232,428,commercial,2007-06-29 20:39:05,2009-06-30 23:37:10,378.252009184845,5263.0,33151.43550667714
quarterly_simulation_2147.csv,2147,194778,428,commercial,2007-06-30 11:30:36,2009-06-30 19:44:17,324.41489798642556,4478.0,43802.51447729351
quarterly_simulation_2162.csv,2162,170008,428,commercial,2007-06-30 08:35:29,2009-06-30 11:34:43,371.56913204084515,25125.0,54193.71212448671
quarterly_simulation_2164.csv,2164,142831,428,commercial,2007-06-30 06:31:39,2009-06-30 18:49:13,442.5051634449104,50301.0,70062.32815808045
quarterly_simulation_2171.csv,2171,156917,428,commercial,2007-06-30 08:07:38,2009-06-30 11:54:17,402.5850672648598,6986.0,26794.884018784687
quarterly_simulation_2175.csv,2175,145637,428,commercial,2007-06-30 08:52:34,2009-06-30 12:22:08,433.7594155331406,9968.0,30895.84830968646
quarterly_simulation_2188.csv,2188,205524,428,commercial,2007-06-30 14:40:08,2009-06-30 16:41:03,307.3409772094743,15071.5,33971.96888837101
quarterly_simulation_2192.csv,2192,143494,428,commercial,2007-06-29 12:12:33,2009-06-30 16:13:49,440.85064880761564,12123.0,25397.509838425853
quarterly_simulation_220.csv,220,88488,428,private,2007-06-28 22:24:56,2009-05-22 22:07:02,677.6153828767742,21327.0,35047.19910514542
quarterly_simulation_2209.csv,2209,186357,428,commercial,2007-06-30 09:59:11,2009-06-30 12:42:23,338.9636074845592,14160.0,34161.01309110339
quarterly_simulation_2214.csv,2214,114694,428,commercial,2007-06-30 10:48:30,2009-06-30 13:26:49,550.7575723228765,3215.5,8400.076060358891
quarterly_simulation_2215.csv,2215,106409,428,commercial,2007-06-30 07:45:15,2009-06-30 07:02:19,593.5278876786738,2998.0,8831.197884996694
quarterly_simulation_2218.csv,2218,89546,428,private,2007-06-29 17:22:28,2009-06-30 14:17:03,706.1636142317915,3615.0,14924.888068402643
quarterly_simulation_2220.csv,2220,127827,428,commercial,2007-06-29 13:03:42,2009-06-30 15:34:34,494.8448293396544,5992.0,14616.579766536965
quarterly_simulation_2223.csv,2223,108010,428,commercial,2007-06-30 16:31:59,2009-06-30 13:27:12,584.6504397740949,1902.5,3799.7667541692404
quarterly_simulation_2232.csv,2232,159262,428,commercial,2007-06-30 10:03:29,2009-06-30 16:13:23,396.71286935992265,3916.0,41776.94147949722
quarterly_simulation_2240.csv,2240,107968,428,commercial,2007-06-30 09:24:31,2009-06-30 10:15:18,585.0045939537641,1207.5,5652.633027522936
quarterly_simulation_2249.csv,2249,83454,428,private,2007-06-30 19:54:06,2009-06-30 11:42:58,756.4560835909602,4629.0,13142.449874055415
quarterly_simulation_2252.csv,2252,107998,428,commercial,2007-06-17 15:44:30,2009-06-30 23:26:11,595.4677956999203,1043.0,3564.4339546842357
quarterly_simulation_2257.csv,2257,84367,428,private,2007-06-30 22:54:22,2009-06-14 18:03:33,732.026609930423,5210.0,35050.91043203372
quarterly_simulation_2258.csv,2258,86451,428,private,2007-06-25 06:00:31,2009-06-30 10:12:11,735.750529201513,6757.0,19550.336490939044
quarterly_simulation_2259.csv,2259,89449,428,commercial,2007-07-02 02:54:48,2009-06-30 23:49:56,704.9932699079923,6432.0,10847.98749441715
quarterly_simulation_2260.csv,2260,93882,428,private,2007-06-30 21:17:04,2009-06-30 19:05:25,672.6665068916299,13707.5,13124.786201022147
quarterly_simulation_2271.csv,2271,141301,428,commercial,2007-06-30 08:48:09,2009-06-26 17:10:22,444.75017161945067,12330.0,22922.14667270258
quarterly_simulation_2272.csv,2272,114309,428,private,2007-06-30 23:36:47,2009-06-30 20:38:42,552.4342615192155,11239.0,17140.509869063906
quarterly_simulation_2283.csv,2283,94118,428,commercial,2007-06-30 10:31:53,2009-06-27 10:19:46,668.3021313670074,3321.0,25162.952557449964
quarterly_simulation_2294.csv,2294,100449,428,private,2007-06-30 08:52:30,2009-06-30 17:34:31,629.0771535804239,4879.0,15473.166284111196
quarterly_simulation_2297.csv,2297,80513,428,private,2007-06-30 19:51:16,2009-06-29 20:25:26,783.4085675605181,2665.0,7925.183709606021
quarterly_simulation_2310.csv,2310,69301,428,private,2007-06-29 22:53:03,2009-06-30 23:30:53,912.6489805341914,5129.0,12024.156031904287
quarterly_simulation_2313.csv,2313,86341,428,commercial,2007-07-01 00:03:55,2009-06-30 21:47:56,731.4251745983947,4194.0,10101.607620775687
quarterly_simulation_2314.csv,2314,81282,428,private,2007-06-29 08:47:57,2009-06-30 14:26:12,778.3496715139884,5779.0,9126.767768220914
quarterly_simulation_2318.csv,2318,81020,428,private,2007-06-30 18:03:07,2009-06-30 16:47:54,779.4939521105899,4717.0,8811.32229580574
quarterly_simulation_2324.csv,2324,90184,428,private,2007-06-30 17:38:19,2009-06-30 19:17:47,700.3988401490286,3076.5,5619.896570594674
quarterly_simulation_2339.csv,2339,78574,428,private,2007-06-30 09:04:59,2009-06-30 07:57:12,803.7637640949932,3291.0,6060.185427752763
quarterly_simulation_2344.csv,2344,82354,428,private,2007-06-30 17:20:31,2009-06-30 16:01:55,766.8632124729825,2542.5,4668.875813449024
quarterly_simulation_2349.csv,2349,80537,428,private,2007-06-30 18:08:02,2009-06-30 16:50:14,784.1631796565554,4788.0,8441.322955390335
quarterly_simulation_235.csv,235,85342,428,private,2007-06-30 22:48:58,2009-06-28 18:53:13,737.8795552014249,2470.0,7610.892630972942
quarterly_simulation_2363.csv,2363,97406,428,private,2007-06-30 15:59:39,2009-06-30 15:51:57,648.399061659446,4256.0,22895.177074774034
quarterly_simulation_2378.csv,2378,82550,428,private,2007-06-30 15:39:54,2009-06-30 21:17:14,765.3415626892793,6268.0,13469.060555555556
